player,pos,age,mp_x,fg_pct_x,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,pts_per_poss,off_rtg,def_rtg,per,ts_pct,trb_pct,ast_pct,usg_pct,ws,bpm,vorp,efg_pct,ft_per_g,fta_per_g,ft_pct_y,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,fga_per_g,points_won
Sam Mitchell,SF,35,1344.0,0.408,7.1,3.8,1.4,0.6,22.0,106.0,104.0,14.1,0.47200000000000003,7.6,12.0,20.6,3.0,-1.6,0.1,0.41700000000000004,2.5,3.3,0.764,1.1,2.5,3.6,2.0,0.7,0.3,0.7,2.2,11.2,10.4,0.0
Cuttino Mobley,PG,23,1456.0,0.425,4.1,4.5,1.6,0.9,18.1,104.0,106.0,12.2,0.537,4.5,13.7,17.2,2.3,-1.0,0.4,0.49,1.8,2.2,0.818,0.4,1.8,2.3,2.5,0.9,0.5,1.6,2.0,9.9,8.3,0.0
Alonzo Mourning,C,28,1753.0,0.511,16.4,2.4,1.1,5.8,29.8,107.0,93.0,24.6,0.563,17.5,8.7,27.1,7.9,4.8,3.0,0.511,6.0,9.2,0.652,3.6,7.4,11.0,1.6,0.7,3.9,3.0,3.5,20.1,13.8,773.0
Chris Mullin,SF,35,1179.0,0.47700000000000004,7.5,3.8,2.2,0.6,23.9,117.0,104.0,18.1,0.616,8.1,12.2,19.1,4.1,4.4,1.9,0.575,1.6,1.8,0.87,0.5,2.7,3.2,1.6,0.9,0.3,1.2,2.0,10.1,7.4,0.0
Lamond Murray,SF,25,1317.0,0.391,7.9,2.5,2.4,0.8,24.9,95.0,109.0,14.3,0.473,8.7,8.7,25.7,0.3,-3.3,-0.4,0.42,2.5,3.1,0.8029999999999999,1.2,2.7,3.9,1.2,1.2,0.4,2.0,2.1,12.2,11.6,0.0
Dikembe Mutombo,C,32,1829.0,0.512,18.8,1.8,0.5,4.5,16.6,115.0,92.0,18.8,0.584,19.5,5.7,14.3,7.9,4.6,3.0,0.512,3.9,5.7,0.684,3.8,8.4,12.2,1.1,0.3,2.9,1.9,2.9,10.8,6.8,0.0
Steve Nash,PG,24,1269.0,0.363,4.8,9.3,1.6,0.1,13.4,99.0,108.0,10.9,0.47100000000000003,5.0,27.2,15.1,1.0,-1.8,0.1,0.441,1.0,1.2,0.826,0.8,2.1,2.9,5.5,0.9,0.1,2.1,2.5,7.9,7.9,0.0
Tyrone Nesby,SF,23,1288.0,0.449,7.3,3.4,3.2,0.8,21.0,113.0,108.0,17.0,0.5429999999999999,8.0,11.3,18.2,3.1,2.2,1.4,0.493,2.1,2.7,0.782,1.1,2.4,3.5,1.6,1.5,0.4,1.1,2.9,10.1,8.1,0.0
Shaquille O'Neal,C,26,1705.0,0.5760000000000001,16.1,3.5,1.1,2.5,39.6,115.0,102.0,30.6,0.584,18.0,14.4,32.4,9.0,6.3,3.6,0.5760000000000001,5.5,10.2,0.54,3.8,6.9,10.7,2.3,0.7,1.7,2.5,3.2,26.3,18.1,89.0
Charles Oakley,PF,35,1633.0,0.428,12.4,5.6,1.5,0.7,11.5,99.0,103.0,10.8,0.479,13.3,17.1,12.8,2.1,-0.5,0.6,0.43,1.3,1.7,0.807,1.9,5.6,7.5,3.4,0.9,0.4,1.9,3.6,7.0,6.5,0.0
Hakeem Olajuwon,C,36,1784.0,0.514,14.5,2.7,2.5,3.7,28.6,105.0,96.0,23.1,0.5589999999999999,15.7,9.5,25.9,6.5,2.9,2.2,0.517,3.9,5.4,0.7170000000000001,2.1,7.4,9.6,1.8,1.6,2.5,2.8,3.2,18.9,14.5,3.0
Michael Olowokandi,C,23,1279.0,0.431,15.0,1.0,1.1,2.3,16.8,89.0,107.0,11.8,0.445,16.5,3.4,19.0,-0.3,-5.1,-1.0,0.431,1.3,2.6,0.483,2.7,5.3,7.9,0.6,0.6,1.2,1.9,3.0,8.9,8.9,0.0
Greg Ostertag,C,25,1340.0,0.47600000000000003,14.3,0.9,0.5,5.4,11.2,107.0,95.0,12.8,0.523,15.8,2.8,10.9,3.8,1.8,1.3,0.47600000000000003,1.6,2.5,0.62,2.2,5.1,7.3,0.5,0.3,2.7,0.9,2.9,5.7,4.3,0.0
Cherokee Parks,C,26,1118.0,0.429,11.7,1.7,1.3,1.3,12.8,92.0,107.0,9.5,0.445,12.8,5.7,14.3,0.2,-4.1,-0.6,0.429,0.6,1.1,0.545,1.6,3.5,5.1,0.8,0.6,0.6,1.0,2.4,5.5,5.7,0.0
