pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
SF,23,DAL,67,1059,15.1,.503,.059,.245,11.6,15.8,13.7,7.6,1.9,0.5,12.5,24.6,,0.5,1.0,1.5,.066,,-1.5,-1.5,-3.0,-0.3
PF,31,NYK,65,832,6.1,.446,.000,.242,9.1,15.0,12.1,4.6,1.7,2.2,20.9,11.0,,-0.5,1.4,0.9,.053,,-3.1,1.5,-1.5,0.1
C,24,GSW,46,360,5.3,.430,.000,.277,7.6,22.8,14.7,3.8,1.2,0.5,20.5,12.7,,-0.4,0.4,0.0,.000,,-6.8,-0.7,-7.4,-0.5
SF,30,DEN,82,2870,22.2,.570,.004,.249,7.7,9.3,8.5,20.9,1.3,1.7,10.5,27.9,,7.2,1.0,8.2,.136,,3.6,-0.3,3.3,3.9
SF,33,PHI,77,2683,22.9,.562,.016,.365,8.3,14.1,11.2,19.3,2.5,3.0,13.0,27.2,,5.6,4.5,10.1,.180,,4.3,1.6,5.9,5.3
PG,28,DEN,78,1687,10.4,.506,.158,.232,1.4,7.4,4.3,20.1,1.6,0.1,15.8,16.5,,0.5,0.4,0.9,.024,,-2.6,-1.4,-4.1,-0.9
PF,30,NYK,32,402,9.6,.620,.000,.654,8.8,17.2,13.0,3.5,1.9,1.2,22.1,8.9,,0.3,0.7,1.0,.118,,-1.1,1.0,-0.1,0.2
PG,23,GSW,77,2555,14.6,.531,.043,.369,3.5,8.4,5.8,15.1,1.9,0.7,13.9,21.5,,2.7,1.8,4.4,.084,,-0.2,-0.5,-0.8,0.8
PG,27,HOU,81,2020,10.4,.548,.032,.249,1.5,5.8,3.7,24.5,1.3,0.2,20.6,12.8,,1.7,1.1,2.9,.068,,-1.8,-1.5,-3.2,-0.6
PG,23,PHO,80,1424,11.9,.512,.145,.267,3.2,6.7,4.9,16.2,1.8,0.4,14.3,21.8,,0.6,1.0,1.6,.054,,-1.2,-1.9,-3.1,-0.4
SG,30,CLE,75,2375,18.8,.512,.049,.358,4.1,6.3,5.2,16.3,2.0,0.2,8.6,31.3,,3.7,1.6,5.3,.107,,2.4,-2.1,0.2,1.3
PF,23,DAL,80,1529,12.3,.546,.007,.589,9.3,15.8,12.6,10.3,1.4,2.4,15.3,12.1,,1.9,1.5,3.5,.109,,-1.2,2.1,1.0,1.1
SF,27,LAL,41,478,10.2,.556,.039,.257,6.1,10.4,8.4,8.0,1.2,0.2,16.7,17.1,,0.3,0.4,0.6,.064,,-1.8,-1.6,-3.4,-0.2
PF,24,CLE,33,267,18.5,.560,.000,.333,14.4,18.5,16.4,5.7,1.5,1.3,8.6,20.0,,0.6,0.3,0.9,.166,,0.6,-1.2,-0.6,0.1
SG,31,SAS,76,2584,19.3,.551,.015,.325,4.4,8.4,6.4,12.5,1.4,0.9,11.2,30.1,,4.6,0.9,5.5,.102,,1.0,-1.4,-0.4,1.1
